artist,track
boyz ii men,i'll make love to you
percy faith and his orchestra,"the theme from ""a summer place"""
chic,le freak
bee gees,how deep is your love
survivor,eye of the tiger
rihanna featuring calvin harris,we found love
maroon 5 featuring cardi b,girls like you
flo rida featuring t-pain,low
dua lipa,levitating
andy gibb,i just want to be your everything
next,too close
the police,every breath you take
gotye featuring kimbra,somebody that i used to know
luis fonsi & daddy yankee featuring justin bieber,despacito
irene cara,flashdance...what a feeling
adele,rolling in the deep
bobby lewis,tossin' and turnin'
lil nas x featuring billy ray cyrus,old town road
johnny horton,the battle of new orleans
mariah carey & boyz ii men,one sweet day
savage garden,truly madly deeply
wings,silly love songs
marvin gaye,let's get it on
bee gees,night fever
queen,another one bites the dust
24kgoldn featuring iann dior,mood
paul mccartney and michael jackson,say say say
nickelback,how you remind me
dawn featuring tony orlando,tie a yellow ribbon round the ole oak tree
tommy edwards,it's all in the game
the beatles,i want to hold your hand
andy gibb,shadow dancing
carly rae jepsen,call me maybe
robin thicke featuring t.i. + pharrell,blurred lines
elton john,candle in the wind 1997/something about the way you look tonight
alicia keys,no one
whitney houston,i will always love you
boyz ii men,end of the road
ed sheeran,perfect
the black eyed peas,boom boom pow
blondie,call me
mario,let me love you
bee gees,stayin' alive
kenny rogers,lady
ke$ha,tik tok
the monkees,i'm a believer
kanye west featuring jamie foxx,gold digger
timbaland featuring onerepublic,apologize
ace of base,the sign
the j. geils band,centerfold
meghan trainor,all about that bass
post malone & swae lee,sunflower (spider-man: into the spider-verse)
john lennon,(just like) starting over
lorde,royals
brandy & monica,the boy is mine
stevie b,because i love you (the postman song)
joan jett & the blackhearts,i love rock 'n roll
the 5th dimension,aquarius/let the sunshine in (the flesh failures)
tag team,whoomp! (there it is)
drake,god's plan
maroon 5 featuring christina aguilera,moves like jagger
paul mccartney and stevie wonder,ebony and ivory
paula abdul,rush rush
"dionne & friends featuring elton john, gladys knight and stevie wonder",that's what friends are for
pharrell williams,happy
diana ross,upside down
the archies,"sugar, sugar"
bruno mars,just the way you are
nelly featuring kelly rowland,dilemma
marvin gaye,i heard it through the grapevine
shania twain,you're still the one
michael jackson,billie jean
donna summer,hot stuff
post malone featuring 21 savage,rockstar
coolio featuring l.v.,gangsta's paradise
the steve miller band,abracadabra
carly simon,you're so vain
